Brand,Model,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
BMW,320,4200,sedan,277,2,Petrol,yes,1991
Mercedes-Benz,Sprinter 212,7900,van,427,2.9,Diesel,yes,1999
Mercedes-Benz,S 500,13300,sedan,358,5,Gas,yes,2003
Audi,Q7,23000,crossover,240,4.2,Petrol,yes,2007
Toyota,Rav 4,18300,crossover,120,2,Petrol,yes,2011
Mercedes-Benz,GLS 63,199999,crossover,0,5.5,Petrol,yes,2016
BMW,320,6100,sedan,438,2,Gas,yes,1997
Audi,A6,14200,vagon,200,2.7,Diesel,yes,2006
Renault,Megane,10799,vagon,193,1.5,Diesel,yes,2012
Volkswagen,Golf IV,1400,other,212,1.8,Gas,no,1999
Renault,Megane,11950,vagon,177,1.5,Diesel,yes,2011
Renault,19,2500,sedan,260,1.79,Petrol,yes,1994
Audi,A6 Allroad,9500,vagon,165,2.7,Gas,yes,2003
Volkswagen,Passat B6,10500,sedan,100,1.8,Petrol,yes,2008
Toyota,Land Cruiser 100,16000,crossover,250,4.7,Gas,yes,2001
Renault,Clio,8600,hatch,84,1.5,Diesel,yes,2012
BMW,318,2990,other,203,2,Petrol,no,2001
Mercedes-Benz,Vito,NA,van,240,2.2,Diesel,yes,2007
Toyota,Rav 4,26500,crossover,21,2,Petrol,yes,2013
Audi,A6,3500,vagon,250,2.5,Diesel,no,1998
Toyota,Hilux,38233,other,0,2.4,Diesel,yes,2016
Volkswagen,Polo,7500,hatch,132,1.4,Diesel,yes,2006
Audi,A6,6800,sedan,225,2.4,Gas,yes,1998
Mitsubishi,Outlander,10500,crossover,130,2.4,Gas,yes,2006
Audi,A8,24900,sedan,163,4.2,Diesel,yes,2008
Volkswagen,Touareg,20800,crossover,151,3,Diesel,yes,2008
Audi,A6,6500,sedan,330,2.4,Petrol,yes,1999
Mercedes-Benz,Vito,13566,other,171,2.2,Other,no,2011
Mitsubishi,Colt,8500,hatch,65,1.3,Petrol,yes,2010
Mercedes-Benz,GLS 500,NA,crossover,0,4.6,Petrol,yes,2016
Audi,100,2900,sedan,1,2.3,Gas,yes,1989
BMW,Z4,21500,other,72,3,Petrol,yes,2007
Mitsubishi,Pajero Wagon,17900,crossover,87,3.8,Gas,yes,2008
BMW,X5,28500,crossover,160,4.8,Gas,yes,2008
Volkswagen,Caddy,9800,van,160,1.9,Diesel,yes,2009
Toyota,Camry,14500,sedan,147,2.4,Gas,yes,2006
BMW,528,6000,sedan,300,2.8,Petrol,yes,1996
BMW,X5,67500,crossover,1,2.5,Diesel,yes,2016
Audi,TT,33900,other,14,1.8,Petrol,yes,2014
Audi,A4,2500,sedan,180,NA,Petrol,no,2000
Mercedes-Benz,Vito,9800,van,230,2.15,Diesel,yes,2004
Mercedes-Benz,G 55 AMG,63000,crossover,86,5.5,Petrol,yes,2009
BMW,528,7700,sedan,326,2.8,Petrol,yes,1998
Mercedes-Benz,Vito,9600,van,30,2.2,Diesel,yes,2006
Toyota,Camry,12800,sedan,181,2.4,Petrol,yes,2008
